/home/loris/Desktop/TestRepositories/Forked/juliet-test-suite-c/Automatic/parse-cwe-status.py:45: SyntaxWarning: invalid escape sequence '\S'
  entry_pattern = re.compile('(\S*)__(\S+)_(\d+)-\w* (\d*)\n')

===== EXIT STATUS =====
OK          1210
99           219
TIMEOUT       74
SIGABRT      629
139          376

===== DATAFLOW VARIANTS =====
 VAR         OK        99   TIMEOUT   SIGABRT       139
  1:         31        10         5         9        17
  2:         31        10         5         9        17
  3:         31        10         5         9        17
  4:         31        10         1         9        21
  5:         31        10         1         9        21
  6:         31        10         1         9        21
  7:         31        10         1         9        21
  8:         32        10         1         9        20
  9:         32        10         1         9        20
 10:         32        10         1         9        20
 11:         32        10         1         9        20
 12:         56         2         1         3        10
 13:         32        10         1         9        20
 14:         32        10         1         9        20
 15:         31        10         5         9        17
 16:         31        10         5         9        17
 17:         32        11         1         9        19
 18:         32        10         5         9        16
 21:          8         4         1         9         1
 22:          8         4         1         9         1
 31:         39        10         5         9         7
 32:         39        10         5         9         7
 34:         39        10         5         9         7
 41:         34         0         1        34         1
 42:          8         4         1         9         1
 44:         42         0         1        26         1
 45:         34         0         1        34         1
 51:         34         0         1        34         1
 52:         34         0         1        34         1
 53:         34         0         1        34         1
 54:         33         0         1        34         2
 61:          7         4         1         9         2
 63:         34         0         1        34         1
 64:         34         0         1        34         1
 65:         42         0         1        26         1
 66:         42         0         1        26         1
 67:         41         0         1        26         2
 68:         33         0         1        34         2

===== FUNCTIONAL VARIANTS =====
                                      OK        99   TIMEOUT   SIGABRT       139
CWE129_connect_socket                 38         0         0         0         0
CWE129_fgets                          38         0         0         0         0
CWE129_fscanf                         38         0         0         0         0
CWE129_large                           1         0         0        37         0
CWE129_listen_socket                   0         0        38         0         0
CWE129_rand                           25         0         0         0        13
CWE131_loop                           16         0         7         0        11
CWE131_memcpy                         34         0         0         0         0
CWE131_memmove                        34         0         0         0         0
CWE135                                 1         0         0         0        37
CWE193_char_alloca_cpy                34         0         0         0         0
CWE193_char_alloca_loop               34         0         0         0         0
CWE193_char_alloca_memcpy             34         0         0         0         0
CWE193_char_alloca_memmove            34         0         0         0         0
CWE193_char_alloca_ncpy               34         0         0         0         0
CWE193_char_declare_cpy               14        20         0         0         0
CWE193_char_declare_loop              34         0         0         0         0
CWE193_char_declare_memcpy            34         0         0         0         0
CWE193_char_declare_memmove           34         0         0         0         0
CWE193_char_declare_ncpy              14        20         0         0         0
CWE805_char_alloca_loop               22         1         2         9         0
CWE805_char_alloca_memcpy              8         0         0         9        17
CWE805_char_alloca_memmove             8         0         0         9        17
CWE805_char_alloca_ncat                8         0         0         9        17
CWE805_char_alloca_ncpy                7         0         0         9        18
CWE805_char_alloca_snprintf            7         0         0         9        18
CWE805_char_declare_loop              34         0         0         0         0
CWE805_char_declare_memcpy            34         0         0         0         0
CWE805_char_declare_memmove           34         0         0         0         0
CWE805_char_declare_ncat              14        20         0         0         0
CWE805_char_declare_ncpy              14        20         0         0         0
CWE805_char_declare_snprintf          34         0         0         0         0
CWE805_int64_t_alloca_loop             1         0         9        13        11
CWE805_int64_t_alloca_memcpy           1         0         0        13        20
CWE805_int64_t_alloca_memmove          1         0         0        13        20
CWE805_int64_t_declare_loop           34         0         0         0         0
CWE805_int64_t_declare_memcpy         34         0         0         0         0
CWE805_int64_t_declare_memmove        34         0         0         0         0
CWE805_int_alloca_loop                 0         0         9        13        12
CWE805_int_alloca_memcpy               1         0         0        13        20
CWE805_int_alloca_memmove              0         0         0        13        21
CWE805_int_declare_loop               34         0         0         0         0
CWE805_int_declare_memcpy             34         0         0         0         0
CWE805_int_declare_memmove            34         0         0         0         0
CWE805_struct_alloca_loop              1         0         9        13        11
CWE805_struct_alloca_memcpy            0         0         0        13        21
CWE805_struct_alloca_memmove           0         0         0        13        21
CWE805_struct_declare_loop            34         0         0         0         0
CWE805_struct_declare_memcpy          34         0         0         0         0
CWE805_struct_declare_memmove         34         0         0         0         0
CWE806_char_alloca_loop                0         0         0        38         0
CWE806_char_alloca_memcpy              1         0         0        37         0
CWE806_char_alloca_memmove             1         0         0        37         0
CWE806_char_alloca_ncat                1         0         0        37         0
CWE806_char_alloca_ncpy                1         0         0        37         0
CWE806_char_alloca_snprintf            1         0         0        37         0
CWE806_char_declare_loop              25         0         0        13         0
CWE806_char_declare_memcpy            25         0         0        13         0
CWE806_char_declare_memmove           25         0         0        13         0
CWE806_char_declare_ncat               0        25         0        13         0
CWE806_char_declare_ncpy               1        24         0        13         0
CWE806_char_declare_snprintf          25         0         0        13         0
char_type_overrun_memcpy               1         0         0         0        17
char_type_overrun_memmove              0         0         0         0        18
dest_char_alloca_cat                   7         0         0         9        18
dest_char_alloca_cpy                   7         0         0         9        18
dest_char_declare_cat                 14        20         0         0         0
dest_char_declare_cpy                 14        20         0         0         0
src_char_alloca_cat                    0         0         0        38         0
src_char_alloca_cpy                    0         0         0        38         0
src_char_declare_cat                   1        24         0        13         0
src_char_declare_cpy                   0        25         0        13         0
